DBN,School Name,School Type,Most Recent Quality Review,Quality Review Rating,Progress Rating,Achievement Rating,Environment Rating,College and Career Readiness Rating,Closing the Achievement Gap Rating,Principal,Enrollment,% ELL,% Students with Disabilities,% Self-Contained,% Free Lunch,% Black or Hispanic,% Overage,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent Other,Principal at Time of Quality Review,Quality Review: How interesting and challenging is the curriculum?,Quality Review: How effective is the teaching and learning?,Quality Review: How well does the school assess what students are learning?,Quality Review: How clearly are high expectations communicated to students and staff?,Quality Review: How well do teachers work with each other?,State Accountability,Teacher Attendance,Years of Principal Experience at This School,Shared Space,Average SAT Score
13K265,Dr. Susan S. McKinney Secondary School of the Arts,High School,"February 10-11, 2014",Proficient,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Meeting Target,Paula Holmes,361,0.025,0.194,0.055,0.708,0.97,0.05,2.33,2.1,0.006,0.734,0.222,0.014,0.025,Paula Holmes,Well Developed,Proficient,Proficient,Proficient,Proficient,Local Assistance Plan,0.96,17,true,1139
13K350,Urban Assembly High School of Music and Art,High School,"April 03-04, 2012",Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Paul Thompson,394,0.018,0.239,0.102,0.638,0.982,0.109,2.31,2.12,0.005,0.774,0.208,0.01,0.003,Paul Thompson,Proficient,Proficient,Proficient,Proficient,Proficient,Local Assistance Plan,0.97,9,true,1193
13K412,"Brooklyn Community High School of Communication, Arts and Media",High School,"February 6-7, 2012",Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,James O'brien,401,0.027,0.229,0.092,0.773,0.948,0.117,2.3,2.11,0.01,0.746,0.2,0.022,0.022,James O'Brien,Proficient,Developing,Proficient,Proficient,Proficient,Focus,0.99,8,true,1116
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",High School,"October 28-29, 2013",Proficient,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,Dahlia Mcgregor,537,0.06,0.179,0.08,0.649,0.888,0.054,2.44,2.28,0.069,0.723,0.166,0.019,0.024,Dahlia Mcgregor,Proficient,Developing,Proficient,Developing,Proficient,Good Standing,0.97,2,true,1297
13K430,Brooklyn Technical High School,High School,"October 17-19, 2011",Proficient,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,Randy Asher,5458,0.001,0.02,0.001,0.488,0.165,0.002,3.69,3.86,0.606,0.083,0.08,0.201,0.031,Randy Asher,Well Developed,Well Developed,Developing,Proficient,Developing,Reward,0.97,8,false,1896
13K439,Brooklyn International High School,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Pamela Taranto,343,0.825,0.02,0.017,0.8,0.405,0.224,1.82,2.43,0.484,0.184,0.222,0.111,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,8,true,1065
13K483,The Urban Assembly School for Law and Justice,High School,"Dec 17-18, 2012",Well Developed,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Suzette Dyer,449,0.011,0.156,0.051,0.626,0.947,0.027,2.57,2.34,0.011,0.768,0.178,0.011,0.031,Shannon Curran,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Good Standing,0.98,1,true,1248
13K499,ACORN Community High School,High School,"December 9-10, 2013",Proficient,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Andrea Piper,623,0.034,0.23,0.116,0.763,0.97,0.103,2.28,2.14,0.013,0.839,0.128,0.01,0.01,Andrea Piper,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.96,4,false,1175
13K527,Urban Assembly Institute of Math and Science for Young Women,High School,"April 8 - 9, 2013",Proficient,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Kiri Soares,285,0.007,0.144,0.035,0.675,0.926,0.035,2.45,2.22,0.011,0.793,0.126,0.056,0.014,Kiri Soares,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.96,4,true,1248
13K595,Bedford Academy High School,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,Adofo Muhammad,361,0.008,0.111,0.022,0.472,0.936,0.025,2.79,2.67,0.03,0.878,0.058,0.008,0.025,,N/A,N/A,N/A,N/A,N/A,Reward,0.98,6,false,1408
13K605,George Westinghouse Career and Technical Education High School,High School,"March 11-12, 2013",Proficient,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Janine Kieran,702,0.026,0.189,0.08,0.706,0.947,0.057,2.36,2.2,0.034,0.769,0.177,0.011,0.009,Janine Kieran,Proficient,Proficient,Proficient,Proficient,Proficient,Focus,0.96,6,true,1223
13K670,Benjamin Banneker Academy,High School,"April 4-5, 2011",Proficient,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,Deonca Renee,907,0,0.058,0.019,0.525,0.954,0.007,3.08,2.82,0.032,0.869,0.085,0.006,0.009,Majida Abdul-Karim,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.96,3,false,1417
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",High School,2012-01-27T00:00:00.000,Proficient,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Yusuf Muhammad,451,0.031,0.211,0.08,0.608,0.865,0.042,2.53,2.44,0.071,0.65,0.215,0.04,0.024,Chris Aguirre,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.98,1,true,
14K071,Juan Morel Campos Secondary School,High School,"May 28 - 29, 2013",Developing,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Eric Fraser,423,0.246,0.281,0.151,0.766,0.953,0.156,2.09,2.11,0.007,0.137,0.816,0.031,0.009,Eric Fraser,Developing,Developing,Developing,Proficient,Proficient,Priority,0.96,2,true,1119
14K322,Foundations Academy,High School,2014-03-18T00:00:00.000,Developing,Not Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Neil Monheit,110,0.064,0.4,0.218,0.722,0.945,0.209,2.11,2.02,0.018,0.627,0.318,0.009,0.027,Jimmy Molina,Developing,Developing,Underdeveloped,Developing,Developing,Priority,0.96,0,true,
14K449,"Brooklyn Latin School, The",High School,"April 17-18th, 2012",Well Developed,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,N/A,Gina Mautschke,592,0.005,0.035,0.002,0.566,0.41,0.002,3.53,3.56,0.365,0.238,0.16,0.123,0.113,Jason Griffiths,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Good Standing,0.97,1,true,1780
14K454,Green School: An Academy for Environmental Careers,High School,"March 6-7, 2013",Proficient,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Cara Tait,328,0.183,0.241,0.113,0.766,0.954,0.195,2.2,2.07,0.012,0.402,0.552,0.012,0.021,Cara Tait,Developing,Developing,Proficient,Proficient,Proficient,Good Standing,0.97,2,true,1116
14K474,PROGRESS High School for Professional Careers,High School,"May 13-14, 2014",Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,William Jusino,1083,0.151,0.197,0.097,0.844,0.976,0.092,2.22,2.13,0.01,0.317,0.659,0.011,0.003,Dr. William Jusino,Developing,Developing,Proficient,Proficient,Developing,Focus,0.96,17,true,1175
14K477,School for Legal Studies,High School,"February 27 – 28, 2013",Developing,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Monica Ortiz,641,0.136,0.189,0.083,0.812,0.958,0.142,2.31,2.14,0.008,0.487,0.471,0.016,0.019,Monica Ortiz,Developing,Developing,Developing,Developing,Proficient,Focus,0.96,1,true,1176
14K478,"The High School for Enterprise, Business and Technology",High School,,N/A,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Holger Carrillo,1016,0.085,0.168,0.072,0.79,0.94,0.078,2.46,2.41,0.035,0.374,0.566,0.021,0.004,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,4,true,1302
14K488,Brooklyn Preparatory High School,High School,"May 13-14, 2013",Proficient,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Noah Lansner,489,0.041,0.215,0.07,0.722,0.957,0.049,2.39,2.21,0.022,0.556,0.399,0.016,0.006,Noah Lansner,Proficient,Developing,Proficient,Proficient,Well Developed,Good Standing,0.97,4,true,1163
14K558,Williamsburg High School for Architecture and Design,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Gill Cornell,579,0.066,0.275,0.086,0.732,0.934,0.043,2.35,2.26,0.021,0.339,0.594,0.035,0.012,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,6,true,1249
14K561,Williamsburg Preparatory School,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Michael Shadrick,671,0.024,0.167,0.063,0.696,0.864,0.031,2.57,2.44,0.019,0.206,0.659,0.095,0.021,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,4,true,1236
14K586,Lyons Community School,High School,"March 19-20, 2014",Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Taeko Onishi,322,0.124,0.227,0.071,0.814,0.953,0.112,2.21,2.01,0.019,0.419,0.534,0.019,0.009,Taeko Onishi,Proficient,Developing,Proficient,Proficient,Proficient,Good Standing,0.98,7,true,1105
14K610,Automotive High School,High School,"October 23-24, 2012",Developing,Not Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Caterina Lafergola,420,0.076,0.357,0.176,0.702,0.955,0.119,2.15,2.11,0.014,0.612,0.343,0.026,0.005,Caterina Lafergola-Stanczuk,Developing,Developing,Developing,Developing,Developing,Priority,0.96,3,true,1065
14K614,Young Women's Leadership School of Brooklyn,High School,"March 3-4, 2014",Well Developed,N/A,N/A,N/A,N/A,N/A,Talana Bradley,191,0.016,0.136,0.026,0.73,0.932,0.026,2.56,2.27,0.026,0.639,0.288,0.01,0.037,Talana Bradley,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Good Standing,0.98,6,true,
14K632,Frances Perkins Academy,High School,"May 13-14, 2014",Proficient,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Kevin Bryant,157,0.083,0.325,0.21,0.88,0.968,0.172,2.16,2.03,0.006,0.656,0.306,0.019,0.013,Kevin Bryant,Proficient,Developing,Developing,Proficient,Proficient,Good Standing,0.97,1,true,
14K685,El Puente Academy for Peace and Justice,High School,,N/A,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Wanda Vazquez,225,0.16,0.222,0.084,0.72,0.978,0.098,2.26,2.13,0.004,0.133,0.844,0.013,0.004,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,3,false,1054
15K429,Brooklyn School for Global Studies,High School,"May 8-9, 2012",Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Dawn Meconi,190,0.095,0.295,0.1,0.731,0.905,0.079,2.31,2.14,0.032,0.516,0.384,0.058,0.011,Joseph O'Brien,Developing,Developing,Proficient,Proficient,Proficient,Good Standing,0.95,1,true,1113
15K448,Brooklyn Secondary School for Collaborative Studies,High School,"November 7-8, 2013",Well Developed,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Alyce Barr,374,0.024,0.307,0.067,0.657,0.834,0.048,2.5,2.2,0.064,0.39,0.444,0.091,0.011,Alyce Barr,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Good Standing,0.96,11,true,1257
15K462,Secondary School for Law,High School,"May 9-10, 2013",Proficient,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Oneatha Swinton,388,0.018,0.137,0.044,0.769,0.918,0.041,2.48,2.26,0.018,0.662,0.255,0.046,0.018,Oneatha Swinton,Proficient,Proficient,Proficient,Proficient,Proficient,Focus,0.96,4,true,1212
15K463,Secondary School for Journalism,High School,"April 24-25, 2014",Developing,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,Meeting Target,Jodi Radwell,270,0.137,0.211,0.111,0.742,0.837,0.096,2.35,2.18,0.096,0.467,0.37,0.048,0.019,Jodi Radwell,Proficient,Proficient,Developing,Developing,Developing,Good Standing,0.95,2,true,1201
15K464,Park Slope Collegiate,High School,"April 8-9, 2014",Proficient,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Jill Bloomberg,285,0.109,0.2,0.119,0.723,0.804,0.053,2.27,2.15,0.077,0.435,0.368,0.06,0.06,Jill Bloomberg,Proficient,Proficient,Proficient,Proficient,Proficient,Focus,0.96,10,true,1255
15K497,School for International Studies,High School,"May 14-15, 2014",Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Jillian Juman,354,0.121,0.158,0.056,0.726,0.822,0.034,2.4,2.28,0.042,0.463,0.356,0.121,0.017,Jillian Juman,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Focus,0.97,2,true,1178
15K519,Cobble Hill School of American Studies,High School,"December 5-6, 2013",Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Annamaria Mule,571,0.075,0.235,0.126,0.79,0.902,0.121,2.28,2.11,0.049,0.681,0.221,0.033,0.016,Annamaria Mule,Developing,Developing,Proficient,Proficient,Proficient,Good Standing,0.94,4,true,1190
15K530,Metropolitan Corporate Academy High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Lennel George,31,0,0.323,0.194,0.682,0.968,0,2.13,1.98,0,0.839,0.129,0,0.032,,N/A,N/A,N/A,N/A,N/A,Priority,0.97,8,false,
15K592,Khalil Gibran International Academy,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Winston Hamann,96,0.302,0.219,0.083,0.841,0.615,0.198,2.21,2.02,0.115,0.552,0.063,0.25,0.021,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,3,true,
15K656,Brooklyn High School of the Arts,High School,"May 9-10, 2011",Proficient,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Margaret Lacey Berman,815,0.011,0.119,0.033,0.598,0.928,0.022,2.63,2.43,0.022,0.713,0.212,0.022,0.031,Margaret Lacey Berman,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,6,true,1273
15K667,Sunset Park High School,High School,"March 5-6, 2012",Well Developed,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Corinne Vinal,1309,0.176,0.237,0.08,0.773,0.869,0.06,2.27,2.16,0.061,0.076,0.793,0.069,0.001,Corinne Vinal,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Good Standing,0.98,5,true,1130
15K684,Millennium Brooklyn HS,High School,"November 13-14, 2013",Proficient,N/A,N/A,N/A,N/A,N/A,Dr. Lisa Gioe,387,0.005,0.121,0.008,0.332,0.54,0.016,3.26,2.98,0.116,0.248,0.289,0.287,0.059,Dr. Lisa Gioe,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,3,true,
16K393,Frederick Douglass Academy IV Secondary School,High School,"March 22-23, 2012",Proficient,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Elvin Crespo,126,0.008,0.341,0.127,0.771,0.984,0.063,2.19,2.02,0.008,0.841,0.143,0,0.008,Elvin Crespo,Proficient,Proficient,Proficient,Proficient,Proficient,Priority,0.97,4,true,
16K455,Boys and Girls High School,High School,"May 29-30, 2013",Developing,Not Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Bernard Gassaway,940,0.032,0.255,0.155,0.69,0.961,0.146,2.17,2.06,0.007,0.876,0.084,0.018,0.015,Bernard Gassaway,Developing,Developing,Developing,Proficient,Developing,Priority,0.96,5,true,1160
16K498,Brooklyn High School for Law and Technology,High School,"January 5-6, 2011",Proficient,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Michael Prayor,518,0.039,0.199,0.1,0.792,0.967,0.056,2.34,2.17,0.021,0.743,0.222,0.008,0.006,Michael Prayor,Proficient,Proficient,Proficient,Proficient,Developing,Good Standing,0.95,4,false,1175
16K594,Gotham Professional Arts Academy,High School,"February 6-7, 2014",Proficient,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Alexander White,242,0.012,0.256,0.112,0.734,0.975,0.136,2.3,2.11,0.008,0.814,0.161,0.008,0.008,Alexander White,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Focus,0.98,7,true,1120
16K688,The Brooklyn Academy of Global Finance,High School,"October 29-30, 2013",Developing,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Dannielle Darbee,148,0.108,0.318,0.23,0.703,0.926,0.162,2.19,2.08,0.034,0.709,0.216,0.027,0.014,Dannielle Darbee,Developing,Developing,Developing,Developing,Developing,Good Standing,0.97,2,true,1084
17K122,Pathways in Technology Early College High School (P-Tech),High School,"December 11-12, 2013",Proficient,N/A,N/A,N/A,N/A,N/A,Rashid Davis,330,0.033,0.185,0.091,0.668,0.961,0.036,2.47,2.28,0.039,0.852,0.109,0,0,Rashid Davis,Proficient,Proficient,Developing,Well Developed,Proficient,Good Standing,0.99,3,true,
17K382,Academy for College Preparation and Career Exploration: A College Board School,High School,"January 13-14, 2014",Proficient,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Doris Unger,381,0.047,0.194,0.071,0.711,0.976,0.176,2.27,2.15,0.01,0.885,0.092,0.008,0.005,Doris Unger,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,4,true,1168
17K408,Academy of Hospitality and Tourism,High School,"Feb 25 - 26, 2013",Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Adam Breier,303,0.195,0.191,0.099,0.801,0.941,0.191,2.23,2.02,0.033,0.832,0.109,0.01,0.017,Adam Breier,Proficient,Developing,Developing,Proficient,Developing,Good Standing,0.95,8,true,1095
17K524,International High School at Prospect Heights,High School,"November 14-15, 2011",Proficient,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Nedda De Castro,421,0.917,0.076,0.017,0.809,0.67,0.278,1.76,2.03,0.197,0.292,0.378,0.131,0.002,Nedda De Castro,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,4,true,992
17K528,The High School for Global Citizenship,High School,"February 27-28, 2013",Proficient,Approaching Target,Meeting Target,Exceeding Target,Approaching Target,Approaching Target,Michelle Rochon,256,0.117,0.188,0.121,0.727,0.965,0.176,2.22,2.07,0.02,0.828,0.137,0.016,0,Michelle Rochon,Proficient,Proficient,Proficient,Proficient,Proficient,Focus,0.96,4,true,1134
17K531,"School for Human Rights, The",High School,"March 1-2, 2011",Proficient,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Meeting Target,Michael Alexander,277,0.058,0.166,0.047,0.843,0.978,0.087,2.3,2.15,0.007,0.903,0.076,0.011,0.004,Michael Alexander,Developing,Proficient,Proficient,Well Developed,Proficient,Good Standing,0.97,7,true,1099
17K533,School for Democracy and  Leadership,High School,"April 9-10, 2014",Proficient,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,James Olearchik,267,0.045,0.243,0.082,0.791,0.959,0.199,2.28,2.15,0.007,0.861,0.097,0.019,0.015,James Olearchik,Proficient,Developing,Developing,Well Developed,Proficient,Good Standing,0.96,3,true,1203
17K537,High School for Youth and Community Development at Erasmus,High School,"May 30-31, 2012",Developing,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Mary Prendergast,347,0.098,0.256,0.112,0.79,0.971,0.159,2.18,2.05,0.006,0.888,0.081,0.012,0.014,Mary Prendergast,Proficient,Developing,Developing,Developing,Developing,Priority,0.96,9,true,1123
17K539,High School for Service & Learning at Erasmus,High School,,N/A,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Peter Fabianski,434,0.099,0.214,0.076,0.708,0.933,0.171,2.22,2.08,0.025,0.834,0.099,0.021,0.021,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,3,true,1144
17K543,"Science, Technology and Research Early College High School at Erasmus",High School,"March 3-4, 2011",Well Developed,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,N/A,Dr. Eric L. Blake,333,0,0.048,0.003,0.687,0.943,0.015,2.88,2.78,0.036,0.835,0.087,0.006,0.036,Dr. Eric Blake,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Good Standing,0.98,6,true,1362
17K544,International Arts Business School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Angelo Marra,92,0.087,0.239,0.043,0.66,0.967,0.087,2.2,2.22,0.011,0.859,0.098,0.022,0.011,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,2,true,1138
17K546,High School for Public Service: Heroes  of Tomorrow,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Sean Rice,439,0.011,0.1,0.052,0.716,0.943,0.03,2.81,2.67,0.043,0.802,0.141,0.009,0.005,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,1,true,1291
17K547,Brooklyn Academy of Science and the Environment,High School,"Feb 11 - 12, 2013",Proficient,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Veronica Peterson,477,0.059,0.168,0.071,0.74,0.931,0.063,2.31,2.23,0.044,0.801,0.128,0.015,0.013,Veronica Peterson,Well Developed,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,11,true,1213
17K548,Brooklyn School for Music & Theatre,High School,"November 12-13, 2013",Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Pamela Randazzo-Dorcely,399,0,0.148,0.04,0.674,0.99,0.05,2.29,2.13,0.003,0.852,0.138,0.008,0,Pamela Randazzo-Dorcely,Developing,Developing,Proficient,Proficient,Proficient,Good Standing,0.95,7,true,1101
17K590,Medgar Evers College Preparatory School,High School,2012-11-13T00:00:00.000,Proficient,Meeting Target,Approaching Target,Approaching Target,Meeting Target,N/A,Dr. Michael A. Wiltshire,972,0.006,0.042,0.007,0.604,0.959,0.011,3.07,2.97,0.023,0.93,0.028,0.002,0.017,Dr. Michael A. Wiltshire,Well Developed,Proficient,Proficient,Well Developed,Proficient,Reward,0.97,13,false,1458
17K600,Clara Barton High School,High School,"April 16-18, 2013",Developing,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Dr. Richard A. Forman,1525,0.105,0.159,0.095,0.695,0.966,0.041,2.4,2.26,0.014,0.915,0.05,0.01,0.009,Dr. Richard A. Forman,Developing,Developing,Developing,Proficient,Developing,Focus,0.97,7,true,1272
17K625,Paul Robeson High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Ronald Williams Wells,42,0.071,0.381,0.19,0.722,1,0.19,2.13,1.97,0,0.976,0.024,0,0,,N/A,N/A,N/A,N/A,N/A,Priority,0.96,3,false,
17K745,Brooklyn Institute for Liberal Arts,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Ann Marie Henry Stephens,170,0.076,0.171,0.071,0.824,0.953,0.065,2.25,2.05,0.024,0.906,0.047,0.018,0.006,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,2,true,
17K751,Academy for Health Careers,High School,"Dec 13 - 14, 2012",Developing,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Deonne Martin,314,0.029,0.169,0.099,0.899,0.952,0.102,2.36,2.18,0.022,0.863,0.089,0.006,0.019,Deonne Martin,Developing,Developing,Developing,Proficient,Proficient,Good Standing,0.98,4,true,1233
18K563,It Takes a Village Academy,High School,"January 10-11, 2012",Well Developed,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Marina Vinitskaya,513,0.23,0.168,0.068,0.798,0.975,0.222,2.35,2.2,0.004,0.92,0.049,0.01,0.018,Marina Vinitskaya,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Good Standing,0.97,7,true,1106
18K566,Brooklyn Generation School,High School,"April 23-24, 2012",Proficient,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Lydia Colon Bomani,297,0.077,0.236,0.061,0.748,0.953,0.182,2.25,2.09,0.007,0.879,0.071,0.017,0.027,Lydia Colon Bomani,Developing,Developing,Proficient,Proficient,Proficient,Focus,0.97,3,true,1088
18K567,Brooklyn Theatre Arts High School,High School,"November 18-19, 2013",Proficient,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,David H. Ward,401,0.047,0.234,0.1,0.777,0.953,0.105,2.26,2.08,0.007,0.83,0.122,0.012,0.027,David Ward,Proficient,Developing,Proficient,Proficient,Proficient,Good Standing,0.96,2,true,1114
18K569,Kurt Hahn Expeditionary Learning School,High School,"October 17-18, 2011",Proficient,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Matt Brown,288,0.069,0.236,0.083,0.703,0.969,0.118,2.35,2.14,0.01,0.878,0.09,0.003,0.017,Matt Brown,Proficient,Proficient,Proficient,Proficient,Proficient,Focus,0.96,7,true,1148
18K576,Victory Collegiate High School,High School,"May 8-9, 2012",Well Developed,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Marcel D. Deans,332,0.024,0.214,0.075,0.696,0.967,0.13,2.3,2.11,0.009,0.904,0.063,0.012,0.012,Marcel D. Deans,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Good Standing,0.97,7,true,1089
18K589,Arts & Media Preparatory Academy,High School,"December 10-11, 2012",Proficient,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Robert Hall,298,0.05,0.208,0.094,0.625,0.95,0.117,2.29,2.07,0.003,0.829,0.121,0.02,0.027,Robert Hall,Proficient,Proficient,Proficient,Proficient,Well Developed,Good Standing,0.97,7,true,1112
18K617,High School for Innovation in Advertising and Media,High School,2013-10-29T00:00:00.000,Developing,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Adaleza Michelena,313,0.064,0.236,0.083,0.724,0.946,0.121,2.24,2.1,0.016,0.856,0.089,0.032,0.006,Adaleza Michelena,Developing,Developing,Developing,Proficient,Proficient,Good Standing,0.96,6,true,1207
18K629,Cultural Academy for the Arts and Sciences,High School,"February 13-14, 2013",Developing,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Diane Varano,309,0.074,0.265,0.152,0.763,0.99,0.139,2.2,2.07,0.006,0.913,0.078,0.003,0,Diane Varano,Developing,Developing,Developing,Developing,Developing,Good Standing,0.97,6,true,1115
18K633,High School for Medical Professions,High School,"Apr 16-17, 2013",Well Developed,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Pauline Obrien,441,0.025,0.138,0.059,0.831,0.955,0.029,2.5,2.31,0.027,0.814,0.141,0.002,0.016,Joseph Scarmato,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Good Standing,0.97,1,true,1242
18K637,Academy for Conservation and the Environment,High School,"April 2-3, 2014",Proficient,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Eugene Mazzola,280,0.071,0.236,0.114,0.668,0.925,0.207,2.28,2.12,0.029,0.843,0.082,0.025,0.021,Eugene Mazzola,Proficient,Proficient,Proficient,Proficient,Well Developed,Good Standing,0.97,3,true,1150
18K642,Urban Action Academy,High School,"May 14-15, 2013",Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Steve Dorcely,312,0.099,0.208,0.099,0.763,0.897,0.16,2.22,2.1,0.032,0.798,0.099,0.048,0.022,Abe Correa,Proficient,Proficient,Developing,Proficient,Proficient,Good Standing,0.93,1,true,1118
