DBN,School Name,School Type,Most Recent Quality Review,Quality Review Rating,Progress Rating,Achievement Rating,Environment Rating,College and Career Readiness Rating,Closing the Achievement Gap Rating,Principal,Enrollment,% ELL,% Students with Disabilities,% Self-Contained,% Free Lunch,% Black or Hispanic,% Overage,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent Other,Principal at Time of Quality Review,Quality Review: How interesting and challenging is the curriculum?,Quality Review: How effective is the teaching and learning?,Quality Review: How well does the school assess what students are learning?,Quality Review: How clearly are high expectations communicated to students and staff?,Quality Review: How well do teachers work with each other?,State Accountability,Teacher Attendance,Years of Principal Experience at This School,Shared Space,Average SAT Score
10X284,Bronx School of Law and Finance,High School,"January 15-16, 2014",Proficient,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Jessica Goring,435,0.094,0.246,0.11,0.815,0.959,0.106,2.26,2.15,0.011,0.32,0.637,0.028,0.005,Jessica Goring,Proficient,Developing,Proficient,Proficient,Proficient,Good Standing,0.96,2,true,1200
10X342,International School for Liberal Arts,High School,"Jan 9 - 10, 2013",Developing,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Francine Cruz,381,0.743,0.066,0.013,0.92,0.997,0.1,1.94,2.08,0,0,0.997,0.003,0,Francine Cruz,Developing,Developing,Developing,Developing,Well Developed,Good Standing,0.97,2,true,1075
10X351,Bronx Collaborative High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Brett Schneider,90,0.189,0.222,0.111,0.6,0.911,0.1,2.34,2.25,0.011,0.289,0.622,0.078,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,1,1,true,
10X353,World View High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Martin Hernandez,71,0.338,0.183,0.113,0.6,0.901,0.099,2.16,2.1,0.028,0.239,0.662,0.042,0.028,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,0,true,
10X368,In-Tech Academy (M.S. / High School 368),High School,2013-10-29T00:00:00.000,Proficient,Approaching Target,Meeting Target,Meeting Target,Meeting Target,N/A,Yvette Allen,580,0.078,0.179,0.047,0.83,0.947,0.022,2.5,2.34,0.034,0.119,0.826,0.016,0.005,Yvette Allen,Proficient,Proficient,Developing,Proficient,Proficient,Good Standing,0.97,4,true,1305
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),High School,"April 17-18, 2012",Well Developed,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Panorea Panagiosoulis,467,0.128,0.197,0.081,0.812,0.927,0.077,2.35,2.31,0.024,0.328,0.6,0.024,0.026,Panorea Panagiosoulis,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Good Standing,0.98,7,true,1222
10X433,High School for Teaching and the Professions,High School,"March 4-5, 2014",Developing,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Jason Maass,499,0.216,0.244,0.134,0.834,0.954,0.148,2.16,2.11,0.022,0.218,0.735,0.02,0.004,Jason Maass,Developing,Developing,Developing,Proficient,Developing,Good Standing,0.96,2,true,1094
10X434,Belmont Preparatory High School,High School,,N/A,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Stephen Joseph Gumbs,410,0.1,0.18,0.1,0.857,0.954,0.051,2.36,2.28,0.022,0.293,0.661,0.022,0.002,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,7,true,1216
10X437,Fordham High School for the Arts,High School,"December 4-5, 2013",Well Developed,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Iris Blige,407,0.052,0.246,0.115,0.79,0.963,0.049,2.37,2.21,0.015,0.339,0.624,0.022,0,Iris Blige,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Good Standing,0.97,10,true,1202
10X438,Fordham Leadership Academy for Business and Technology,High School,"April 18 - 19, 2013",Developing,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Maryann Tucker,460,0.176,0.28,0.161,0.84,0.954,0.146,2.14,2.04,0.022,0.289,0.665,0.022,0.002,Mary Ann Tucker,Developing,Developing,Proficient,Developing,Developing,Priority,0.97,3,true,1117
10X439,Bronx High School for Law and Community Service,High School,"May 30-31, 2012",Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Michael Barakat,403,0.159,0.263,0.127,0.871,0.953,0.117,2.19,2.1,0.022,0.246,0.702,0.015,0.015,Michael Barakat,Proficient,Developing,Developing,Proficient,Proficient,Good Standing,0.98,4,true,1173
10X440,DeWitt Clinton High School,High School,"November 13-15, 2013",Developing,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Santiago Taveras,2746,0.215,0.207,0.126,0.758,0.886,0.127,2.3,2.21,0.075,0.316,0.568,0.028,0.013,Santiago Taveras,Developing,Developing,Developing,Developing,Developing,Priority,0.95,1,true,1270
10X442,"Celia Cruz Bronx High School of Music, The",High School,"March 3-4, 2014",Proficient,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Jerrod Mabry,436,0.039,0.133,0.014,0.737,0.954,0.03,2.57,2.37,0.009,0.25,0.704,0.023,0.014,Jerrod Mabry,Developing,Proficient,Developing,Proficient,Developing,Good Standing,0.94,1,true,1283
10X445,Bronx High School of Science,High School,,N/A,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,Jean Donahue,3037,0.001,0.021,0,0.33,0.095,0.001,3.84,3.95,0.624,0.03,0.065,0.231,0.05,,N/A,N/A,N/A,N/A,N/A,Reward,0.97,1,false,2029
10X475,John F. Kennedy High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Lisa Luft,153,0.314,0.242,0.137,0.87,0.993,0.157,2.15,2.08,0.007,0.261,0.732,0,0,,N/A,N/A,N/A,N/A,N/A,Priority,0.95,4,false,1060
10X477,Marble Hill High School for International Studies,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Kirsten Larson,447,0.32,0.105,0.02,0.87,0.834,0.072,2.42,2.51,0.112,0.262,0.57,0.054,0.002,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,7,true,1238
10X524,Crotona International High School,High School,"December 11-12, 2013",Developing,N/A,N/A,N/A,N/A,N/A,Jesseca Long,252,0.929,0.06,0.036,0.835,0.956,0.258,1.7,1.92,0.016,0.095,0.861,0.028,0,Jesseca Long,Proficient,Developing,Developing,Proficient,Proficient,Good Standing,0.98,3,true,
10X546,Bronx Theatre High School,High School,"November 13-14, 2013",Developing,Not Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,Charles Gallo,435,0.083,0.234,0.108,0.796,0.961,0.092,2.24,2.08,0.005,0.303,0.657,0.03,0.005,Charles Gallo,Proficient,Developing,Developing,Proficient,Proficient,Focus,0.95,3,true,1194
10X549,Discovery High School,High School,2012-02-07T00:00:00.000,Well Developed,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Rolando Rivera,542,0.216,0.279,0.151,0.856,0.956,0.113,2.19,2.09,0.026,0.17,0.786,0.013,0.006,Rolando Rivera,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Good Standing,0.98,7,true,1227
10X565,High School for Energy and Technology,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Ignazio Accardi,211,0.085,0.28,0.156,0.868,0.962,0.095,2.28,2.25,0.009,0.265,0.697,0.014,0.014,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,2,true,
10X660,Grace Dodge Career and Technical Education High School,High School,"November 15-16, 2010",Developing,N/A,N/A,N/A,N/A,N/A,Frank Giaimo,435,0.234,0.345,0.214,0.71,0.972,0.147,2.09,2.03,0.021,0.287,0.685,0.005,0.002,Roberto Hernandez,Developing,Developing,Developing,Developing,Developing,Priority,0.95,2,true,1086
10X696,High School of American Studies at Lehman College,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,Alessandro Weiss,387,0,0.047,0,0.22,0.225,0,3.78,3.71,0.225,0.07,0.155,0.535,0.016,,N/A,N/A,N/A,N/A,N/A,Reward,0.98,8,true,1970
11X249,Bronx Health Sciences High School,High School,,N/A,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Miriam Rivas,345,0.038,0.107,0.052,0.726,0.896,0.064,2.47,2.38,0.052,0.548,0.345,0.017,0.038,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,10,true,1305
11X253,Bronx High School for Writing and Communication Arts,High School,"May 30 - 31, 2013",Proficient,Approaching Target,Approaching Target,Exceeding Target,Approaching Target,Approaching Target,Terri Lynn Grey,413,0.073,0.235,0.116,0.724,0.937,0.109,2.29,2.04,0.029,0.414,0.523,0.024,0.01,Terri Lynn Grey,Proficient,Proficient,Proficient,Proficient,Proficient,Focus,0.96,3,true,1235
11X265,Bronx Lab School,High School,"February 11-12, 2013",Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Sarah Marcy,476,0.074,0.21,0.105,0.755,0.947,0.08,2.3,2.17,0.027,0.395,0.55,0.021,0.006,Christopher Lagares,Proficient,Developing,Proficient,Proficient,Proficient,Focus,0.98,1,true,1174
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,High School,"March 1-2, 2012",Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Zenobia White,349,0.074,0.252,0.12,0.692,0.957,0.086,2.16,2.04,0.017,0.636,0.321,0.014,0.011,Zenobia White,Developing,Developing,Developing,Developing,Developing,Focus,0.95,9,true,1155
11X275,High School of Computers and Technology,High School,,N/A,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Bruce Abramowitz,556,0.103,0.259,0.099,0.718,0.923,0.088,2.27,2.24,0.049,0.338,0.583,0.016,0.014,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,10,true,1133
11X288,Collegiate Institute for Math and Science,High School,"October 21-22, 2010",Proficient,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Shadia Alvarez,656,0.04,0.192,0.099,0.704,0.793,0.052,2.7,2.58,0.104,0.335,0.457,0.096,0.008,Estelle Hans,Proficient,Developing,Developing,Well Developed,Proficient,Good Standing,0.99,3,true,1338
11X290,Bronx Academy of Health Careers,High School,,N/A,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Dawn Santiago,461,0.076,0.245,0.137,0.708,0.957,0.115,2.22,2.11,0.035,0.51,0.447,0.007,0.002,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,2,true,1202
11X299,Astor Collegiate Academy,High School,"February 10-11, 2014",Proficient,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Sandra Burgos,474,0.072,0.251,0.108,0.726,0.808,0.055,2.37,2.27,0.076,0.335,0.473,0.103,0.013,Sandra Burgos,Proficient,Developing,Developing,Proficient,Proficient,Focus,0.97,4,true,1297
11X415,Christopher Columbus High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Lisa Fuentes,175,0.149,0.286,0.189,0.627,0.754,0.12,2.11,2.01,0.091,0.309,0.446,0.143,0.011,,N/A,N/A,N/A,N/A,N/A,Priority,0.97,11,false,1187
11X418,Bronx High School for the Visual Arts,High School,"Apr 23-24, 2013",Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,G Jones,509,0.033,0.279,0.12,0.628,0.888,0.094,2.37,2.11,0.033,0.273,0.615,0.075,0.004,Gwendolyn Jones,Developing,Developing,Developing,Developing,Developing,Priority,0.95,3,true,1270
11X455,Harry S Truman High School,High School,"March 18-20, 2014",Proficient,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Keri Alfano,1911,0.069,0.282,0.166,0.591,0.95,0.093,2.21,2.08,0.022,0.523,0.427,0.017,0.011,Keri Alfano,Developing,Developing,Proficient,Well Developed,Developing,Local Assistance Plan,0.97,1,true,1171
11X508,Bronxdale High School,High School,"May 6-7, 2014",Proficient,N/A,N/A,N/A,N/A,N/A,Carolyne Quintana,332,0.045,0.241,0.096,0.713,0.864,0.075,2.29,2.18,0.033,0.286,0.575,0.087,0.018,Carolyne Quintana,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,2,true,
11X509,High School of Language and Innovation,High School,"March 11-12, 2014",Developing,N/A,N/A,N/A,N/A,N/A,Julie Nariman,255,0.78,0.043,0.008,0.916,0.714,0.239,1.91,1.97,0.173,0.114,0.6,0.09,0.024,Julie Nariman,Developing,Developing,Developing,Developing,Developing,Good Standing,0.98,3,true,
11X513,New World High School,High School,,N/A,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,Fausto Salazar,401,0.736,0.067,0.03,0.935,0.803,0.214,1.92,2.06,0.117,0.092,0.711,0.065,0.015,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,9,true,1100
11X514,The Bronxwood Preparatory Academy,High School,"November 14-15, 2013",Proficient,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Janet Gallardo,414,0.058,0.278,0.13,0.694,0.93,0.143,2.17,1.99,0.029,0.645,0.285,0.019,0.022,Janet Gallardo,Proficient,Developing,Proficient,Proficient,Proficient,Priority,0.95,9,true,1119
11X541,Global Enterprise High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Sandra Maldonado,37,0.081,0.243,0.162,0.711,0.865,0.108,2.14,2.04,0.054,0.297,0.568,0.081,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,3,false,1085
11X542,Pelham Preparatory Academy,High School,"December 13-14, 2010",Proficient,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Carlos Santiago,480,0.023,0.244,0.102,0.623,0.871,0.046,2.51,2.33,0.044,0.394,0.477,0.071,0.015,Jane Aronoff,Proficient,Developing,Proficient,Well Developed,Proficient,Good Standing,0.95,3,true,1263
11X544,High School for Contemporary Arts,High School,,N/A,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Francisco Sanchez,518,0.087,0.319,0.149,0.719,0.977,0.139,2.23,2.06,0.008,0.371,0.606,0.01,0.006,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.95,9,true,1099
11X545,Bronx Aerospace High School,High School,"March 1-2, 2012",Developing,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Meeting Target,Barbara Kirkweg,404,0.124,0.337,0.161,0.456,0.936,0.097,2.25,2.18,0.027,0.277,0.658,0.025,0.012,Barbara Kirkweg,Proficient,Developing,Developing,Proficient,Developing,Good Standing,0.96,11,true,1181
